,Rk,Year,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,WS,WS/48,Born2,College2,Pos2
84,85,2007,25,UTA,Morris Almond,22.151,G,us,Rice University,2008.0,2012.0,38.0,9.5,0.0,0.005,USA,1,Guard
85,86,2007,26,HOU,Aaron Brooks,22.17,G,us,Oregon,2008.0,2018.0,645.0,20.8,19.2,0.069,USA,1,Guard
86,87,2007,27,DET,Arron Afflalo,21.261,G-F,us,UCLA,2008.0,2018.0,762.0,27.3,33.5,0.077,USA,1,Swingman
87,88,2007,28,SAS,Tiago Splitter,22.183,F-C,br,,2011.0,2017.0,355.0,19.2,25.3,0.178,World,0,Big
88,89,2007,29,PHO,Alando Tucker,23.143,F,us,Wisconsin,2008.0,2010.0,51.0,8.4,0.4,0.045,USA,1,Forward
89,90,2007,30,PHI,Petteri Koponen,19.08,G,fi,,,,,,,,World,0,Guard
91,92,2006,2,CHI,LaMarcus Aldridge,20.349,F-C,us,Texas,2007.0,2020.0,1003.0,34.4,111.4,0.155,USA,1,Big
92,93,2006,3,CHA,Adam Morrison,21.349,F,us,Gonzaga,2007.0,2010.0,161.0,20.4,-1.4,-0.021,USA,1,Forward
93,94,2006,4,POR,Tyrus Thomas,19.32,F,us,LSU,2007.0,2015.0,402.0,19.7,13.0,0.078,USA,1,Forward
94,95,2006,5,ATL,Shelden Williams,22.256,F,us,Duke,2007.0,2012.0,361.0,15.5,9.9,0.085,USA,1,Forward
95,96,2006,6,MIN,Brandon Roy,21.345,G,us,Washington,2007.0,2013.0,326.0,35.5,37.4,0.155,USA,1,Guard
96,97,2006,7,BOS,Randy Foye,22.283,G,us,Villanova,2007.0,2017.0,752.0,25.6,23.5,0.058,USA,1,Guard
97,98,2006,8,HOU,Rudy Gay,19.32,F,us,UConn,2007.0,2020.0,939.0,33.2,56.4,0.087,USA,1,Forward
98,99,2006,9,GSW,Patrick O'Bryant,20.013,C,us,Bradley,2007.0,2010.0,90.0,5.8,0.5,0.046,USA,1,Center
99,100,2006,10,SEA,Mouhamed Sene,20.052,C-F,sn,,2007.0,2009.0,47.0,5.5,0.3,0.052,World,0,Big
100,101,2006,11,ORL,J.J. Redick,22.009,G,us,Duke,2007.0,2020.0,890.0,25.9,62.6,0.13,USA,1,Guard
101,102,2006,12,NOK,Hilton Armstrong,21.234,F-C,us,UConn,2007.0,2014.0,292.0,11.6,3.9,0.055,USA,1,Big
102,103,2006,13,PHI,Thabo Sefolosha,22.062,G-F,ch,,2007.0,2020.0,869.0,21.9,39.3,0.099,World,0,Swingman
103,104,2006,14,UTA,Ronnie Brewer,21.105,G-F,us,Arkansas,2007.0,2014.0,502.0,23.0,30.4,0.127,USA,1,Swingman
104,105,2006,15,NOK,Cedric Simmons,20.181,F,us,NC State,2007.0,2009.0,75.0,9.4,0.1,0.005,USA,1,Forward
105,106,2006,16,CHI,Rodney Carney,22.079,F,us,Memphis,2007.0,2011.0,299.0,15.4,6.2,0.064,USA,1,Forward
106,107,2006,17,IND,Shawne Williams,20.137,F,us,Memphis,2007.0,2015.0,314.0,17.1,6.7,0.06,USA,1,Forward
107,108,2006,18,WAS,Oleksiy Pecherov,20.207,C,ua,,2008.0,2010.0,111.0,9.4,0.5,0.025,World,0,Center
108,109,2006,19,SAC,Quincy Douby,22.048,G,us,Rutgers University,2007.0,2009.0,143.0,10.7,0.0,0.0,USA,1,Guard
109,110,2006,20,NYK,Renaldo Balkman,21.354,F,us,South Carolina,2007.0,2012.0,221.0,13.9,7.2,0.113,USA,1,Forward
110,111,2006,21,PHO,Rajon Rondo,20.131,G,us,Kentucky,2007.0,2020.0,873.0,31.0,59.9,0.106,USA,1,Guard
111,112,2006,22,NJN,Marcus Williams,20.212,G,us,UConn,2007.0,2010.0,203.0,15.2,0.0,-0.001,USA,1,Guard
112,113,2006,23,NJN,Josh Boone,21.224,F-C,us,UConn,2007.0,2010.0,256.0,17.5,9.1,0.097,USA,1,Big
113,114,2006,24,MEM,Kyle Lowry,20.1,G,us,Villanova,2007.0,2020.0,908.0,31.6,93.5,0.157,USA,1,Guard
114,115,2006,25,CLE,Shannon Brown,20.216,G,us,Michigan State,2007.0,2015.0,408.0,18.0,9.2,0.06,USA,1,Guard
115,116,2006,26,LAL,Jordan Farmar,19.215,G,us,UCLA,2007.0,2017.0,504.0,19.5,13.9,0.068,USA,1,Guard
116,117,2006,27,PHO,Sergio Rodrguez,20.021,G,es,,2007.0,2017.0,353.0,15.0,4.3,0.039,World,0,Guard
117,118,2006,28,DAL,Maurice Ager,22.145,G,us,Michigan State,2007.0,2011.0,82.0,6.2,-0.9,-0.089,USA,1,Guard
118,119,2006,29,NYK,Mardy Collins,21.333,G,us,Temple,2007.0,2010.0,189.0,14.7,-1.6,-0.027,USA,1,Guard
119,120,2006,30,POR,Joel Freeland,19.146,F-C,gb,,2013.0,2015.0,151.0,12.1,3.2,0.084,World,0,Big
120,121,2005,1,MIL,Andrew Bogut,20.217,C,au,Utah,2006.0,2019.0,706.0,28.1,50.6,0.122,World,1,Center
121,122,2005,2,ATL,Marvin Williams,19.014,F,us,UNC,2006.0,2020.0,1066.0,28.2,64.8,0.104,USA,1,Forward
122,123,2005,3,UTA,Deron Williams,21.007,G,us,Illinois,2006.0,2017.0,845.0,34.2,77.3,0.129,USA,1,Guard
123,124,2005,4,NOH,Chris Paul,20.058,G,us,Wake Forest,2006.0,2020.0,1013.0,34.9,179.5,0.244,USA,1,Guard
124,125,2005,5,CHA,Raymond Felton,21.007,G,us,UNC,2006.0,2019.0,971.0,29.7,40.2,0.067,USA,1,Guard
125,126,2005,6,POR,Martell Webster,18.211,G-F,us,,2006.0,2015.0,580.0,24.0,24.7,0.085,USA,0,Swingman
126,127,2005,7,TOR,Charlie Villanueva,20.313,F,us,UConn,2006.0,2016.0,656.0,20.7,22.6,0.08,USA,1,Forward
127,128,2005,8,NYK,Channing Frye,22.048,C-F,us,Arizona,2006.0,2019.0,890.0,22.2,38.9,0.094,USA,1,Big
128,129,2005,9,GSW,Ike Diogu,21.296,F,us,Arizona State,2006.0,2012.0,225.0,12.4,6.5,0.112,USA,1,Forward
129,130,2005,10,LAL,Andrew Bynum,17.249,C,us,,2006.0,2014.0,418.0,25.6,37.4,0.168,USA,0,Center
130,131,2005,11,ORL,Fran Vzquez,22.064,,es,,,,,,,,World,0,
132,133,2005,13,CHA,Sean May,21.09,F,us,UNC,2006.0,2010.0,119.0,15.7,2.6,0.068,USA,1,Forward
133,134,2005,14,MIN,Rashad McCants,20.281,G,us,UNC,2006.0,2009.0,249.0,20.2,3.6,0.035,USA,1,Guard
134,135,2005,15,NJN,Antoine Wright,21.148,G-F,us,Texas A&M,2006.0,2011.0,297.0,19.2,3.1,0.026,USA,1,Swingman
135,136,2005,16,TOR,Joey Graham,23.023,F,us,Oklahoma State,2006.0,2011.0,377.0,16.2,7.8,0.061,USA,1,Forward
136,137,2005,17,IND,Danny Granger,22.075,F,us,New Mexico,2006.0,2015.0,586.0,31.5,48.5,0.126,USA,1,Forward
137,138,2005,18,BOS,Gerald Green,19.158,G-F,us,,2006.0,2019.0,658.0,19.8,18.4,0.068,USA,0,Swingman
138,139,2005,19,MEM,Hakim Warrick,22.361,F,us,Syracuse,2006.0,2013.0,526.0,20.2,20.4,0.092,USA,1,Forward
139,140,2005,20,DEN,Julius Hodge,21.228,G,us,NC State,2006.0,2007.0,23.0,4.3,0.0,0.003,USA,1,Guard
140,141,2005,21,PHO,Nate Robinson,21.033,G,us,Washington,2006.0,2016.0,618.0,22.5,27.8,0.096,USA,1,Guard
141,142,2005,22,DEN,Jarrett Jack,21.249,G,us,Georgia Tech,2006.0,2018.0,867.0,27.8,36.8,0.073,USA,1,Guard
142,143,2005,23,SAC,Francisco Garca,23.185,F-G,do,Louisville,2006.0,2015.0,549.0,21.6,18.2,0.074,World,1,Swingman
143,144,2005,24,HOU,Luther Head,22.22,G,us,Illinois,2006.0,2011.0,348.0,22.4,14.7,0.09,USA,1,Guard
144,145,2005,25,SEA,Johan Petro,19.157,C,fr,,2006.0,2013.0,473.0,15.4,5.5,0.037,World,0,Center
145,146,2005,26,DET,Jason Maxiell,22.136,F,us,Cincinnati,2006.0,2015.0,618.0,18.4,20.3,0.086,USA,1,Forward
146,147,2005,27,POR,Linas Kleiza,20.181,F,lt,Missouri,2006.0,2013.0,409.0,20.0,13.6,0.08,World,1,Forward
147,148,2005,28,SAS,Ian Mahinmi,18.24,C,fr,,2008.0,2020.0,618.0,16.8,26.0,0.121,World,0,Center
148,149,2005,29,MIA,Wayne Simien,22.117,F,us,Kansas,2006.0,2007.0,51.0,9.9,0.9,0.083,USA,1,Forward
149,150,2005,30,NYK,David Lee,22.066,F,us,Florida,2006.0,2017.0,829.0,29.3,76.0,0.15,USA,1,Forward
150,151,2004,1,ORL,Dwight Howard,18.203,C,us,,2005.0,2020.0,1106.0,33.6,133.9,0.173,USA,0,Center
151,152,2004,2,CHA,Emeka Okafor,21.275,C-F,us,UConn,2005.0,2018.0,616.0,30.9,45.3,0.114,USA,1,Big
152,153,2004,3,CHI,Ben Gordon,21.087,G,gb,UConn,2005.0,2015.0,744.0,27.4,33.3,0.078,World,1,Guard
153,154,2004,4,LAC,Shaun Livingston,18.291,G,us,,2005.0,2019.0,833.0,20.6,29.9,0.084,USA,0,Guard
154,155,2004,5,WAS,Devin Harris,21.123,G,us,Wisconsin,2005.0,2019.0,985.0,24.3,54.9,0.11,USA,1,Guard
155,156,2004,6,ATL,Josh Childress,21.01,G-F,us,Stanford,2005.0,2014.0,391.0,26.7,25.7,0.118,USA,1,Swingman
156,157,2004,7,PHO,Luol Deng,19.074,F,ss,Duke,2005.0,2019.0,902.0,34.3,74.0,0.115,World,1,Forward
157,158,2004,8,TOR,Rafael Arajo,23.322,C,br,BYU,2005.0,2007.0,139.0,11.4,-0.4,-0.013,World,1,Center
158,159,2004,9,PHI,Andre Iguodala,20.153,G-F,us,Arizona,2005.0,2020.0,1122.0,33.2,96.8,0.125,USA,1,Swingman
159,160,2004,10,CLE,Luke Jackson,22.236,F,us,Oregon,2005.0,2008.0,73.0,9.9,0.2,0.01,USA,1,Forward
160,161,2004,11,GSW,Andris Biedri__,18.088,C,lv,,2005.0,2014.0,516.0,21.6,30.7,0.132,World,0,Center
161,162,2004,12,SEA,Robert Swift,18.208,C,us,,2005.0,2009.0,97.0,15.5,1.7,0.054,USA,0,Center
162,163,2004,13,POR,Sebastian Telfair,19.02,G,us,,2005.0,2015.0,564.0,21.5,5.0,0.02,USA,0,Guard
163,164,2004,14,UTA,Kris Humphries,19.143,F-C,us,Minnesota,2005.0,2017.0,800.0,17.8,30.3,0.102,USA,1,Big
164,165,2004,15,BOS,Al Jefferson,19.176,C-F,us,,2005.0,2018.0,915.0,28.7,71.0,0.13,USA,0,Big
165,166,2004,16,UTA,Kirk Snyder,21.025,G,us,Nevada,2005.0,2008.0,211.0,16.8,4.5,0.061,USA,1,Guard
166,167,2004,17,ATL,Josh Smith,18.206,F,us,,2005.0,2018.0,894.0,32.4,51.0,0.084,USA,0,Forward
167,168,2004,18,NOH,J.R. Smith,18.293,G-F,us,,2005.0,2019.0,971.0,27.0,46.4,0.085,USA,0,Swingman
168,169,2004,19,MIA,Dorell Wright,18.209,F-G,us,,2005.0,2015.0,549.0,22.4,25.9,0.101,USA,0,Swingman
169,170,2004,20,DEN,Jameer Nelson,22.141,G,us,Saint Joseph's,2005.0,2018.0,878.0,27.9,48.3,0.094,USA,1,Guard
170,171,2004,21,UTA,Pavel Podkolzin,19.165,C,ru,,2005.0,2006.0,6.0,4.7,-0.1,-0.163,World,0,Center
171,172,2004,22,NJN,Viktor Khryapa,21.331,F,ua,,2005.0,2008.0,143.0,16.4,2.0,0.041,World,0,Forward
172,173,2004,23,POR,Sergei Monia,21.076,F,ru,,2006.0,2006.0,26.0,13.2,-0.2,-0.025,World,0,Forward
173,174,2004,24,BOS,Delonte West,20.339,G,us,Saint Joseph's,2005.0,2012.0,432.0,27.4,24.5,0.099,USA,1,Guard
174,175,2004,25,BOS,Tony Allen,22.17,G-F,us,Oklahoma State,2005.0,2018.0,820.0,22.0,38.7,0.103,USA,1,Swingman
175,176,2004,26,SAC,Kevin Martin,21.149,G,us,Western Carolina University,2005.0,2016.0,714.0,30.2,61.3,0.137,USA,1,Guard
176,177,2004,27,LAL,Sasha Vuja_i_,20.113,G,si,,2005.0,2017.0,581.0,15.3,16.0,0.086,World,0,Guard
177,178,2004,28,SAS,Beno Udrih,21.36,G,si,,2005.0,2017.0,831.0,21.9,31.4,0.083,World,0,Guard
178,179,2004,29,IND,David Harrison,21.319,C,us,Colorado,2005.0,2008.0,189.0,14.2,3.2,0.057,USA,1,Center
179,180,2003,1,CLE,LeBron James,18.182,F-G,us,,2004.0,2020.0,1258.0,38.4,236.1,0.235,USA,0,Swingman
180,181,2003,2,DET,Darko Mili_i_,18.01,F-C,rs,,2004.0,2013.0,468.0,18.5,7.1,0.04,World,0,Big
