,Rk,Year,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,WS,WS/48,Born2,College2,Pos2
202,203,2003,24,LAL,Brian Cook,22.209,F,us,Illinois,2004.0,2012.0,421.0,13.4,10.2,0.086,USA,1,Forward
203,204,2003,25,DET,Carlos Delfino,20.306,G,ar,,2005.0,2013.0,507.0,22.8,22.5,0.093,World,0,Guard
204,205,2003,26,MIN,Ndudi Ebi,19.012,F,gb,,2004.0,2005.0,19.0,4.5,0.1,0.051,World,0,Forward
205,206,2003,27,MEM,Kendrick Perkins,18.232,C,us,,2004.0,2018.0,782.0,21.9,27.9,0.078,USA,0,Center
206,207,2003,28,SAS,Leandro Barbosa,20.215,G,br,,2004.0,2017.0,850.0,21.6,37.4,0.098,World,0,Guard
207,208,2003,29,DAL,Josh Howard,23.064,F-G,us,Wake Forest,2004.0,2013.0,507.0,30.3,38.0,0.119,USA,1,Swingman
208,209,2002,1,HOU,Yao Ming,21.292,C,cn,,2003.0,2011.0,486.0,32.5,65.9,0.2,World,0,Center
209,210,2002,2,CHI,Jay Williams,20.294,G,us,Duke,2003.0,2003.0,75.0,26.1,0.8,0.02,USA,1,Guard
210,211,2002,3,GSW,Mike Dunleavy,21.289,F-G,us,Duke,2003.0,2017.0,986.0,27.7,58.5,0.103,USA,1,Swingman
211,212,2002,4,MEM,Drew Gooden,20.28,F,us,Kansas,2003.0,2016.0,790.0,25.5,43.9,0.105,USA,1,Forward
212,213,2002,5,DEN,Nikoloz Tskitishvili,19.078,F,ge,,2003.0,2006.0,172.0,11.3,-1.6,-0.039,World,0,Forward
213,214,2002,6,CLE,Dajuan Wagner,19.147,G,us,Memphis,2003.0,2007.0,103.0,21.4,0.0,0.0,USA,1,Guard
214,215,2002,7,NYK,Nen Hilrio,19.291,F-C,br,,2003.0,2019.0,965.0,26.2,73.3,0.139,World,0,Big
215,216,2002,8,LAC,Chris Wilcox,19.301,F,us,Maryland,2003.0,2013.0,628.0,19.9,26.9,0.103,USA,1,Forward
216,217,2002,9,PHO,Amar'e Stoudemire,19.227,F-C,us,,2003.0,2016.0,846.0,31.0,92.5,0.169,USA,0,Big
217,218,2002,10,MIA,Caron Butler,22.11,F,us,UConn,2003.0,2016.0,881.0,32.2,50.9,0.086,USA,1,Forward
218,219,2002,11,WAS,Jared Jeffries,20.218,F,us,Indiana,2003.0,2013.0,629.0,21.6,13.1,0.046,USA,1,Forward
219,220,2002,12,LAC,Melvin Ely,24.061,C,us,Fresno State,2003.0,2014.0,375.0,16.0,4.0,0.032,USA,1,Center
220,221,2002,13,MIL,Marcus Haislip,21.191,F,us,Tennessee,2003.0,2010.0,89.0,9.6,0.5,0.026,USA,1,Forward
221,222,2002,14,IND,Fred Jones,23.113,G-F,us,Oregon,2003.0,2009.0,430.0,24.0,16.5,0.077,USA,1,Swingman
222,223,2002,15,HOU,Bo_tjan Nachbar,21.363,F,si,,2003.0,2008.0,317.0,17.8,8.7,0.074,World,0,Forward
223,224,2002,16,PHI,Ji_ Welsch,22.156,G,cz,,2003.0,2006.0,247.0,18.6,5.7,0.059,World,0,Guard
224,225,2002,17,WAS,Juan Dixon,23.266,G,us,Maryland,2003.0,2009.0,436.0,19.5,6.1,0.034,USA,1,Guard
225,226,2002,18,ORL,Curtis Borchardt,21.291,C,us,Stanford,2004.0,2005.0,83.0,13.5,1.0,0.041,USA,1,Center
226,227,2002,19,UTA,Ryan Humphrey,22.343,F,us,Notre Dame,2003.0,2005.0,85.0,9.1,-0.4,-0.027,USA,1,Forward
227,228,2002,20,TOR,Kareem Rush,21.244,G,us,Missouri,2003.0,2010.0,346.0,17.2,1.7,0.013,USA,1,Guard
228,229,2002,21,POR,Qyntel Woods,21.135,F,us,Northeast Mississippi Community College,2003.0,2006.0,167.0,12.3,1.4,0.032,USA,1,Forward
229,230,2002,22,PHO,Casey Jacobsen,21.104,G-F,us,Stanford,2003.0,2008.0,287.0,18.5,6.2,0.056,USA,1,Swingman
230,231,2002,23,DET,Tayshaun Prince,22.124,F,us,Kentucky,2003.0,2016.0,1017.0,31.0,63.1,0.096,USA,1,Forward
231,232,2002,24,NJN,Nenad Krsti_,18.341,C,rs,,2005.0,2011.0,419.0,25.2,21.5,0.098,World,0,Center
232,233,2002,25,DEN,Frank Williams,22.127,G,us,Illinois,2003.0,2005.0,86.0,11.1,0.1,0.003,USA,1,Guard
233,234,2002,26,SAS,John Salmons,22.202,G,us,Miami (FL),2003.0,2015.0,895.0,26.4,33.9,0.069,USA,1,Guard
234,235,2002,27,LAL,Chris Jefferies,22.139,G-F,us,Fresno State,2003.0,2004.0,72.0,12.0,-0.5,-0.03,USA,1,Swingman
235,236,2002,28,SAC,Dan Dickau,23.289,G,us,Gonzaga,2003.0,2008.0,300.0,15.4,5.9,0.061,USA,1,Guard
236,237,2001,1,WAS,Kwame Brown,19.114,F,us,,2002.0,2013.0,607.0,22.1,20.8,0.074,USA,0,Forward
237,238,2001,2,LAC,Tyson Chandler,18.273,C,us,,2002.0,2020.0,1160.0,27.3,102.1,0.155,USA,0,Center
238,239,2001,3,ATL,Pau Gasol,20.361,F-C,es,,2002.0,2019.0,1226.0,33.4,144.1,0.169,World,0,Big
239,240,2001,4,CHI,Eddy Curry,18.209,C,us,,2002.0,2013.0,527.0,24.9,21.7,0.08,USA,0,Center
240,241,2001,5,GSW,Jason Richardson,20.163,G,us,Michigan State,2002.0,2015.0,857.0,34.1,59.1,0.097,USA,1,Guard
241,242,2001,6,MEM,Shane Battier,22.297,F,us,Duke,2002.0,2014.0,977.0,30.7,75.7,0.121,USA,1,Forward
242,243,2001,7,NJN,Eddie Griffin,19.033,F-C,us,Seton Hall,2002.0,2007.0,303.0,22.2,10.9,0.078,USA,1,Big
243,244,2001,8,CLE,DeSagana Diop,19.153,C,sn,,2002.0,2013.0,601.0,14.0,12.8,0.073,World,0,Center
244,245,2001,9,DET,Rodney White,21.004,F,us,UNC Charlotte,2002.0,2005.0,218.0,15.4,1.8,0.026,USA,1,Forward
245,246,2001,10,BOS,Joe Johnson,20.003,G-F,us,Arkansas,2002.0,2018.0,1276.0,34.7,82.8,0.09,USA,1,Swingman
246,247,2001,11,BOS,Kedrick Brown,20.106,G,us,Okaloosa-Walton Community College,2002.0,2005.0,143.0,13.5,3.0,0.074,USA,1,Guard
247,248,2001,12,SEA,Vladimir Radmanovi_,20.225,F,ba,,2002.0,2013.0,737.0,21.9,26.5,0.079,World,0,Forward
248,249,2001,13,HOU,Richard Jefferson,21.011,F,us,Arizona,2002.0,2018.0,1181.0,29.0,83.0,0.116,USA,1,Forward
249,250,2001,14,GSW,Troy Murphy,21.061,F-C,us,Notre Dame,2002.0,2013.0,729.0,27.3,50.3,0.121,USA,1,Big
250,251,2001,15,ORL,Steven Hunter,19.244,C,us,DePaul,2002.0,2010.0,400.0,15.0,10.6,0.085,USA,1,Center
251,252,2001,16,CHH,Kirk Haston,22.115,F,us,Indiana,2002.0,2003.0,27.0,5.0,-0.5,-0.197,USA,1,Forward
252,253,2001,17,TOR,Michael Bradley,22.076,F-C,us,Villanova,2002.0,2006.0,173.0,11.7,2.0,0.047,USA,1,Big
253,254,2001,18,HOU,Jason Collins,22.213,C,us,Stanford,2002.0,2014.0,735.0,20.4,20.1,0.064,USA,1,Center
254,255,2001,19,POR,Zach Randolph,19.351,F-C,us,Michigan State,2002.0,2018.0,1116.0,31.0,81.1,0.112,USA,1,Big
255,256,2001,20,CLE,Brendan Haywood,21.218,C,us,UNC,2002.0,2015.0,816.0,22.9,43.8,0.113,USA,1,Center
256,257,2001,21,BOS,Joseph Forte,20.101,G,us,UNC,2002.0,2003.0,25.0,5.0,-0.4,-0.166,USA,1,Guard
257,258,2001,22,ORL,Jeryl Sasser,22.14,G,us,SMU,2002.0,2003.0,82.0,12.9,0.7,0.032,USA,1,Guard
258,259,2001,23,HOU,Brandon Armstrong,21.016,G,us,Pepperdine,2002.0,2004.0,108.0,6.5,-0.6,-0.039,USA,1,Guard
259,260,2001,24,UTA,Ral Lpez,21.078,G,es,,2004.0,2005.0,113.0,18.9,2.1,0.047,World,0,Guard
260,261,2001,25,SAC,Gerald Wallace,18.344,F,us,Alabama,2002.0,2015.0,832.0,29.7,59.7,0.116,USA,1,Forward
261,262,2001,26,PHI,Samuel Dalembert,20.053,C,ht,Seton Hall,2002.0,2015.0,886.0,24.4,51.3,0.114,World,1,Center
262,263,2001,27,MEM,Jamaal Tinsley,23.125,G,us,Iowa State,2002.0,2014.0,547.0,26.4,17.2,0.057,USA,1,Guard
263,264,2001,28,SAS,Tony Parker,19.046,G,be,,2002.0,2019.0,1254.0,30.5,111.3,0.14,World,0,Guard
264,265,2000,1,NJN,Kenyon Martin,22.186,F,us,Cincinnati,2001.0,2015.0,757.0,30.6,48.0,0.1,USA,1,Forward
265,266,2000,2,VAN,Stromile Swift,20.225,F,us,LSU,2001.0,2009.0,547.0,19.8,21.3,0.095,USA,1,Forward
266,267,2000,3,LAC,Darius Miles,18.267,F,us,,2001.0,2009.0,446.0,26.3,9.5,0.039,USA,0,Forward
267,268,2000,4,CHI,Marcus Fizer,21.328,F,us,Iowa State,2001.0,2006.0,289.0,20.9,2.7,0.022,USA,1,Forward
268,269,2000,5,ORL,Mike Miller,20.135,F-G,us,Florida,2001.0,2017.0,1032.0,26.9,60.7,0.105,USA,1,Swingman
269,270,2000,6,ATL,DerMarr Johnson,20.059,F,us,Cincinnati,2001.0,2008.0,344.0,17.2,6.4,0.052,USA,1,Forward
270,271,2000,7,CHI,Chris Mihm,20.353,C,us,Texas,2001.0,2009.0,436.0,20.1,13.3,0.073,USA,1,Center
271,272,2000,8,CLE,Jamal Crawford,20.105,G,us,Michigan,2001.0,2019.0,1326.0,29.4,60.6,0.075,USA,1,Guard
272,273,2000,9,HOU,Joel Przybilla,20.267,C,us,Minnesota,2001.0,2013.0,592.0,19.8,23.0,0.094,USA,1,Center
273,274,2000,10,ORL,Keyon Dooling,20.056,G,us,Missouri,2001.0,2013.0,728.0,19.4,18.5,0.063,USA,1,Guard
274,275,2000,11,BOS,Jrme Moso,22.019,F-C,fr,UCLA,2001.0,2005.0,145.0,9.6,2.1,0.074,World,1,Big
275,276,2000,12,DAL,Etan Thomas,22.094,F,us,Syracuse,2002.0,2011.0,409.0,17.3,14.9,0.101,USA,1,Forward
276,277,2000,13,ORL,Courtney Alexander,23.068,G,us,Fresno State,2001.0,2003.0,187.0,21.7,4.1,0.048,USA,1,Guard
277,278,2000,14,DET,Mateen Cleaves,22.3,G,us,Michigan State,2001.0,2006.0,167.0,11.2,-0.8,-0.021,USA,1,Guard
278,279,2000,15,MIL,Jason Collier,22.299,C,us,Georgia Tech,2001.0,2005.0,151.0,14.4,1.9,0.042,USA,1,Center
279,280,2000,16,SAC,Hedo Trko_lu,21.107,F,tr,,2001.0,2015.0,997.0,26.8,63.3,0.114,World,0,Forward
280,281,2000,17,SEA,Desmond Mason,22.266,F,us,Oklahoma State,2001.0,2010.0,643.0,30.5,23.1,0.056,USA,1,Forward
281,282,2000,18,LAC,Quentin Richardson,20.081,G,us,DePaul,2001.0,2013.0,783.0,26.5,32.8,0.076,USA,1,Guard
282,283,2000,19,CHH,Jamaal Magloire,22.044,C,ca,Kentucky,2001.0,2012.0,680.0,21.5,27.7,0.091,World,1,Center
283,284,2000,20,PHI,Speedy Claxton,22.057,G,us,Hofstra,2002.0,2009.0,334.0,25.6,14.2,0.08,USA,1,Guard
284,285,2000,21,TOR,Morris Peterson,22.312,F,us,Michigan State,2001.0,2011.0,711.0,27.2,35.7,0.089,USA,1,Forward
285,286,2000,22,NYK,Donnell Harvey,19.311,F,us,Florida,2001.0,2005.0,205.0,16.2,4.7,0.069,USA,1,Forward
286,287,2000,23,UTA,DeShawn Stevenson,19.091,G,us,,2001.0,2013.0,824.0,22.3,12.1,0.032,USA,0,Guard
287,288,2000,24,CHI,Dalibor Bagari_,20.147,C,de,,2001.0,2003.0,95.0,10.2,-0.9,-0.043,World,0,Center
288,289,2000,25,PHO,Jake Tsakalidis,21.024,C,ge,,2001.0,2007.0,315.0,15.9,9.9,0.095,World,0,Center
289,290,2000,26,DEN,Mamadou N'Diaye,25.019,C,sn,Auburn,2001.0,2005.0,69.0,12.4,1.8,0.101,World,1,Center
290,291,2000,27,IND,Primo_ Brezec,20.275,C,si,,2002.0,2010.0,342.0,18.1,10.8,0.084,World,0,Center
291,292,2000,28,POR,Erick Barkley,22.133,G,us,St. John's,2001.0,2002.0,27.0,9.9,0.2,0.027,USA,1,Guard
292,293,2000,29,LAL,Mark Madsen,24.158,F,us,Stanford,2001.0,2009.0,453.0,11.8,8.2,0.074,USA,1,Forward
